WorkItemId,WorkItemName,RegressionCount
515303,CGI-Helpdesk Problem# 11038 Skatepro - Batch Picking - Doubled Power Timereg line (System user),1
521285,"CGI-002071 - NEW ERA UAT - INBOUND > EW failed in scheduler ",3
531927,CR 33042 - By opening LinkedLocations on P&D point a popup apears with Page number?,0
526753,CGI-002071 - New Era - Break Super: The POWER Location does not exist. Identification fields and values: Code='',0
523224,CGI-002071 - New Era - Super Holder Retrieval confirmed on the wrong location,1
525834,CGI maintenance :  CC status is not updated correctly in TL,0
515393,"""Purchase Amount"" line accepts more decimals than the maximum allowed ",1
521308,POST Inbound/Outbound Subscription resource-->/transports,1
532221,CGI-002280 - ALL - error starting job queues,0
532109,CGI-002238 - Delonghi - FLEX - Scheduler task New Process BWN goes in error,0
513399,POST inbound order - POWER checks - with quantity -1,1
532114,API2POW: Language does not exist at KTN Language,0
530781,CGI-001946 Velgen NP - Dashboard Empty,0
530801,Remove color and size codes in api,0
530588," [CGI-Helpdesk Incident# 11080194] - [BE-KI OM New Power] - [Styra Cycle Count – can't perform CC for the 2nd location] ",0
532007,CGI-002071 - NEW ERA UAT - OUTBOUND > TTL > No TTL Queue shown on the last step of PP - RF Android,0
529502,"GildanUS - Qlikview 4,1 numbers are doubled",0
522770," [CGI-Helpdesk Problem# 11066] - [Boardriders] - [Shipping Label – 2 Error labels Collipost / Hermes after migration to B2C] ",0
530844,[POST/PUT/PATCH/ Transport Outbound with incorrect typeTransport] - should give a 400 but it gives 200,0
529592,"TRO should NOT be updated when in status Arrived, Preloaded, Loaded, Delivered or Cancelled - CGI-002093",0
529485,CGI-002239 - Teddy - Check LongRunningSQL's & LockTimeOuts after LoadTest to see what can be improved,0
529487,CGI-002239 - Teddy - Check Indexes that can be optimized after LoadTest,0
530759,CGI-002239 - Teddy - RF Picking queue - Qty=0,0
532371,API2POW - Strange Error message appears,0
532568,Issue with styra - multiple issues following Update,0
532410,CGI-002242: Adeo: Hypercare: fill in Holder Unit into Promesys temp timereg records which are stuck,0
532251,ICT-SP-Promesys - Input App - Legio - Missing Breaks,0
511262,CGI-Helpdesk Problem# 11027 - BE-KI Delonghi New Power - New super holder created with an existing barcode,0
526750,CGI-002279 - ACTION WRO Hypercare -  Inspection Queues created for incorrect location,0
532064,CGI-002272 - Gildan - Scheduler tasks failed often,0
527368,CGI-002075 - WONDERBOFAR - Scan RETURN B2C error because order in archive,0
529472,CGI-002071 - New Era - Flex Replenishment not autolaunched,0
532684,CGI-002238 - Delonghi - Flex - IF line error after flush location,0
522965,"Post/Put Item APIs attributes Color, Design, Size, Model , Seasons without knowing the customer 201 instead of 400- CGI-002219",1
532253,CGI-002071 - NEW ERA UAT - INBOUND > AS > Assign Qty to do PA more than the expected Qty when change Max Qty on (Tote) Location = Yes,0
532365,CGI-002071 - NEW ERA UAT - INBOUND > AS > Option to FINISH PA is missing from E-Manager Admin Interface (Activity - Goods receival - Overview),0
530617,"[CGI-Helpdesk Problem# 11050] - [BE-KI ZooPlus New Power] - Exit the PARK EQUIPMENT step, sets the equipment from PARKED to FREE",0
522534," [CGI-Helpdesk Problem# 11016] - [Zooplus] - [Styra– WORKFOP errors] ",1
518605,CGI-Helpdesk Problem# 11078 - BE-KI AVANOS New Power - Scanning GS1 barcode not working properly in Styra CC,0
512725,"CGI TEST TEAM : After successfully creating a CC in Teamleader, NO Instruction Group is created in BSG ",0
520725,CGI-001776 - BRICO - SMC + RAD HYPERCARE - STYRA update malfunction,0
526525,CGI-002239 - Teddy - Teamleader doesn't correctly show the compareQuantity in CC Details,0
532146,CGI-002271 - ACTION LEH  - No timeregistration - Styra - HYPERCARE,0
532564,CGI-002239 - Teddy - Deadlocks (Dynpicking),0
532667,CGI-002280 - Initial - Bridge EDI doesn't pick files up,0
529561,CGI-002239 - Teddy - MIXED Type Mover in Super Holder,0
520709,CGI-002071: (D04) COO _ Mixed holder _ Transfer Q into WCS _Err 768,0
532553,CGI-002280 - KitchenAid - Styra Connection Issues,0
532679,CGI-002071 - NEW ERA UAT - INBOUND > AS > Refill Option is not working in Emanager,0
532687,CGI-002280 - INITIAL - Scheduler does not send send EW tasks by email,0
532913,CGI-002280 - Initial - Excel Wizards are failing,0
532856,CGI-002280 - LE CREUSE BE - ASN EDI not picked up,0
531979,"CGI TT - BASELINE - TST -  HolderTransferV002 Trigger with no setup in activity matrix ",0
532623,CGI-002071 - NEW ERA UAT - OUTBOUND : WCS150 failed (missing holder barcode in the code),0
532069,CGI-002275 - ACTION SUPHUB Hypercare - No timeregistration in Styra during putaway,0
532876,"Zinzino FAR - STD77 wrong differences shown ",0
532565,CGI-002239 - Teddy - Performance Profiler Picking Interface Lines,0
521288,CGI-002071 - (D03) Confirm Putaway Mixed (FIX - Find Queue with Item),1
529436,CGI-002071 - (D04) Mixed Transfer infeed (BUG - Find Queue based on Item),0
529311,HELPDESK 2023 - BDEF - PRD - Error label GLS: SU175577 (1485163),0
532904,Amano JobQ in Error,0
514890,"Enabling task TTL PACKED HOLDER generate error in packing interface record ",1
428024,CR32945 - OM - Queue Group doesn't contain value MIXED in Transport when there are more then one TRO on it,0
533081,"Created Items in POWER are not shown in PowApiItem table ",0
532532,CGI-002238 - Delonghi - Flex - Possible to scan a reserved holder during Replenishment in STYRA,1
525940,CGI-002266 - Delonghi -  Import tours -> MO creation : incorrect Multi-Order Qs created,0
532745,CR 33377 Lot No screen skipped without filling Lot No,0
532782,CGI-002211 - MAHARAM - Excel Wizard Creator issue,0
526320,Permission error - Impossible to run reports,0
532508,CGI TT - BASELINE - TST - DESADV - CGI-002177: New fields PCI STR and PCI PTR should be on different rows,0
522547,CGI-002239 - Teddy - Power Excel Wizard modification screen layout,0
510998,GET Transport Link -- Resource not found,1
526220,CGI-002239 - Teddy - Cannot select holder unit,0
533160,CGI-002280 Upgrade Wave 2 - ManoMano ES - RECCON not generated,0
522897,CGI-002071 - NEC : Error during link instead of during validate return label,0
486626,CGI-002225 - FERRERO  - JOB QUEUE POWInterfaces KEEP GOING IN ERROR => You cannot change the status of a closed queue.  [Table POWER Queue]	,0
526994,CGI-002238 - Delonghi - Styra - Location From push problem HOLDER NOT FOUND doesnt ask new repln,1
524759,Promesys Input Employee report - Date issue,0
532595,ICT-SP-Promesys - Legio - Input App - Activity from Ortec Prefilled,0
532934,POWER+OUTBOUND+BATCH PICKING+SPLIT OVERLOADED QG MAX QUEUES,0
533469,missing 'closed' on transportOutbound,0
533328,CGI-002280 - Le Creuset BE - Excel wizards received twise + 1 fail notification,0
533044,CGI-002075 - WONDERBOFAR - TRIW can't close. (Returns),0
531976,CGI-002071 - NEW ERA UAT - OUTBOUND - CMR (Cannot Add Sections to the CMR Type),0
526925,CR 32923/CGI-002242: UAT: BWN processing does not lead to correct expected result,0
532289,"CGI-002242: Adeo: Geek+: Picking: UID linked to 2 Holder No To, with wrong QG key created",0
526330,Lauching Reports that generate an excel go into error,0
532923,"CGI-002271 - ACTION LEH Hypercare - Interface error ""Putaway must specify to location""",0
530706,CGI Helpdesk - Historical Prod in QV (Contract Category missing),0
532777,CGI-002071 - NEW ERA UAT - INBOUND > Cannot close Return TRI for B2B - Interface not intialized,0
527400,Incident# 11078673 - Zooplus - WCS+Transfer IF line to stock location cancelling loading queue = Loading interface in error,1
533067,Packing interface runs in error,0
519858,CGI-002071 - NEW ERA UAT - INBOUND > TRI Sorter application : Power Tri Sorter holder Sub reports wrong split up standard vs standard mixed,1
533224,CGI TT - Baseline - TST - RF - Choosing pickholder unit page opens twice even after selecting the proposed unit once,0
526815,API2POW: PUT OUTBOUND Lines not syncronized to Power,1
529559,CGI Helpdesk - Historical Productivity report in QV,0
533074,Pick holder unknown,1
533723,CGI-002239 -Teddy - UAT URL opening like is the Navuser link,0
533358,CGI-002239 - Teddy- Default Holder Unit filled when existing as Pick Unit setup on Customer,0
529355,CGI-002239 - Teddy - Cannot select holder unit - Highlight suggested Unit.,2
533327,CGI-002239 -Teddy - Permanent flags on 73460 POWER Queue Group List,0
533701,CGI-002239 - Teddy - Detail Scanning TRUE/FALSE error,0
532916,"CGI-002275- ACTION Hypercare - Issue with Putaway ""Location to""",0
532915,"CGI-002276- ACTION SUPHUB Hypercare - Issue with Putaway ""Location to""",0
532619,CGI-002272 - Gildan - Total Net Weight of items missing on the Packlist,0
533528,CGI-002239 - Teddy - Cannot print Shipping Label of Superholder on packing line,0
533080,CGI-002185 - GKN AWD - UAT - Outbound scheduler error after cut-off.,0
533052,CGI-002266 - Delonghi - Unpack SuperHolder also unpacks child Holders,0
533759,CGI-002071 -New Era - UAT URL opening like is the Navuser link,0
533619,*1793 D01 - Can't select key for QG 'Receiving',0
533530,"CGI-002239 - Teddy - JobQueue Interface error ""Sorry....""",0
533066," CGI-Helpdesk Incident# 11083994 - BE-KI Boardriders New Power - Cut Off task failing for order",0
532050,"CGI-002190 Zinzino SE & FAR - 74 -Job queue SA_PRM_UPLOAD goes into error ",0
534118,CGI-002280 - TASC FZ + BMW CARS not working in UAT,0
533141,CGI-002280 - 4WARD/customs - error dotnetvariable,0
533511,"CGI-002239 - Teddy - Cannot Upload Config ",0
526384,Night shift - Clocking out is linked to next day,0
533206,POWDeliveryNoteDelonghi Internal Server Error,0
533825,CGI-Helpdesk Incident# 11083999 -Boardriders - Cycle Count - Barcode not found reason does not generate inspection queue,0
533227,Baseline- Status of the QG stays in Created After Auto Launch of QG that is linked to flex batch,0
534120,*1793 TriSorterSSCC - add type 'Receiving' in ActivityMatrix + operation type 'TRISORTER SSCC',0
524129,API2POW POST Items /configurations and /configDetails and /configDetailBarcodes /barcode,2
526893,POWApiReturn not processed in APIQueue - Register: Move to processing,0
514452,CGI-001776 - BRICO - RAD / SMC HYPERCARE - SSCC in progress / transfer to loading,0
532468,CGI-002190 - Zinzino FAR - 75 - RSO : always promted for BBD and/or LotNr,0
534520,POW2API Return queue in error: Invalid ItemCode [return-returnLines] - cannot be empty],0
523003,[CGI-Helpdesk Problem# 11075] - GildanUS - SSCC found in ASN/ID but cannot be received,1
532965,CGI-002280 Upgrade Wave 2 - ManoMano ES - Job Queue in error with specific ASN file,0
534543,CGI-002280 - INITIAL - BC No Reply is spamming thousands of mails.,0
519876,BR: Sort&Pack: not possible to select item other than suggested unless it's scanned a second time,0
521423,CGI Helpdesk - Stiga & VSG IT - Missing Packing Timereg,2
529378,CGI-002276 - CGI-002275 - ACTION SMC & SUPHUB Hypercare - Warning message when launching a QG picking,0
534482,CGI-002239 - Teddy - Promesys Timereg SubActivity= Packing volumes prior to Upgrade missing,0
532785,CGI-002211 - MAHARAM - Printing of stock and pick holder labels doesn't work,0
526819,apiDefinition CGI Items,0
526334,upload apiDefinition outbound - Cleanup unused schemas,0
533098,CGI-002211 - MAHARAM - Dataport 72729 POWUploadCheckdigit doesn't work,0
533927,HELPDESK 2023 - BDEF - PRD - REPORT UPLOAD ERROR,0
533370,CGI-002280 - Bergamaschi - Incorrect label,0
532592," [CGI-Helpdesk Problem# 11088] - [BE-KI Boardriders New Power] - [Job queue – EDI OUT job queue set to Finished] ",0
529421,"[CGI-Helpdesk Problem# 11050] - [BE-KI ZooPlus New Power] - [picking – Reserved for external system not changed from YES to NO in POWER Location table after picking is finished] ",0
533648,CR 33211 - Iriscolor - Next location not displayed anymore,0
511090,CGI-Helpdesk Problem# 11026 - BE-KI Boardriders New Power - Packing - Stock holder used for packing instead of Pick holder,0
508846," CGI-Helpdesk Problem# 11018 - BE-GNT Epiroc New Power - Outbound Picking – Operational performance is impacted – Error during picking: Queue Status is not In Progress. Please undo your pick and go back to the Queue Group List ",0
508456," [CGI-Helpdesk Problem# 11017] - [BE-KI KitchenAid New Power] - [SDBL013– Container No not present in message] ",0
